INFRASA,Matricula,Peso,Aviación,Aerolinea,Vuelo,Tarjeta,Fecha,Fecha OK,Hora,Destino / Origen,Nombre Destino / Origen
24409,HK5131,2800,Comercial,AEXPA,2.0,Salida,2020-01-24,2020-01-24,11:15:00,SKPE,AEROPUERTO INTERNACIONAL MATECAÑA
29852,HK4595,2155,General,INV LLACAR LTDA,0.0,Salida,2020-01-03,2020-01-03,15:00:00,SKCL,CALI
30077,HK1460,1274,General,AVIACION PEREIRA LTDA,2.0,Salida,2020-01-14,2020-01-14,8:25:00,SKGO,CARTAGO
30222,HK4821,1406,General,PLANECOM S.A.S,0.0,Salida,2020-01-02,2020-01-02,11:00:00,SKGY,GUAYMARAL
30355,HK4663,975,General,AVIACION PEREIRA LTDA,2.0,Salida,2020-01-08,2020-01-08,8:48:00,SKPE,AEROPUERTO INTERNACIONAL MATECAÑA
30357,HK2399,1054,General,AVIACION PEREIRA LTDA,2.0,Salida,2020-01-07,2020-01-07,8:33:00,SKMD,MEDELLIN
30436,N149GJ,3970,General,INVERSIONES INMOBILARIAS,2.0,Salida,2020-01-06,2020-01-06,10:00:00,SKGY,GUAYMARAL
30460,PNC0255,621,Estatal,FRPN,0.0,Salida,2020-01-01,2020-01-01,6:52:00,SKPE,AEROPUERTO INTERNACIONAL MATECAÑA
30474,HK5236,18600,Comercial,EFY,9175.0,Salida,2020-01-01,2020-01-01,10:23:00,SKMD,MEDELLIN
30475,HK5322,23000,Comercial,EFY,7751.0,Salida,2020-01-01,2020-01-01,11:03:00,SKBO,BOGOTA
30478,HK5315,11250,Comercial,EFY,6927.0,Salida,2020-01-01,2020-01-01,11:00:00,SKMD,MEDELLIN
30482,hp1565,50000,Comercial,RPB,624.0,Salida,2020-01-01,2020-01-01,5:10:00,MPTO,TOCUMEN
30483,N398AV,77000,Comercial,AVA,9856.0,Salida,2020-01-01,2020-01-01,1:27:00,SKSP,SAN ANDRES
30484,N398AV,77000,Comercial,AVA,8510.0,Salida,2020-01-01,2020-01-01,6:02:00,SKBO,BOGOTA
30485,HK5274,73500,Comercial,FAST COLOMBIA S.A.S,8286.0,Salida,2020-01-01,2020-01-01,10:40:00,SKCG,CARTAGENA
30486,N992AV,77000,Comercial,AVA,8538.0,Salida,2020-01-01,2020-01-01,11:26:00,SKBO,BOGOTA
30487,N764AV,77000,Comercial,AVA,8512.0,Salida,2020-01-01,2020-01-01,11:36:00,SKBO,BOGOTA
30488,N398AV,77000,Comercial,AVA,8408.0,Salida,2020-01-01,2020-01-01,11:43:00,SKBO,BOGOTA
30489,hk5276,73500,Comercial,FAST COLOMBIA S.A.S,6769.0,Salida,2020-01-01,2020-01-01,12:00:00,SKBO,BOGOTA
30490,N481AV,77000,Comercial,AVA,9806.0,Salida,2020-01-01,2020-01-01,12:16:00,SKBO,BOGOTA
30491,N939AV,77000,Comercial,AVA,8516.0,Salida,2020-01-01,2020-01-01,14:06:00,SKBO,BOGOTA
30492,HK5199,18600,Comercial,EFY,9057.0,Salida,2020-01-01,2020-01-01,14:02:00,SKMD,MEDELLIN
30493,CCCOZ,70000,Comercial,ARE,4213.0,Salida,2020-01-01,2020-01-01,14:50:00,SKBO,BOGOTA
30494,N481AV,77000,Comercial,AVA,8504.0,Salida,2020-01-01,2020-01-01,15:37:00,SKBO,BOGOTA
30495,HK5199,18600,Comercial,EFY,9059.0,Salida,2020-01-01,2020-01-01,16:05:00,SKMD,MEDELLIN
30496,HK5322,23000,Comercial,EFY,9185.0,Salida,2020-01-01,2020-01-01,16:26:00,SKBO,BOGOTA
30497,N741AV,75500,Comercial,AVA,8518.0,Salida,2020-01-01,2020-01-01,18:12:00,SKBO,BOGOTA
30498,N481AV,77000,Comercial,AVA,9418.0,Salida,2020-01-01,2020-01-01,18:54:00,SKBO,BOGOTA
30499,HK5199,18600,Comercial,EFY,7785.0,Salida,2020-01-01,2020-01-01,18:17:00,SKRG,RIONEGRO
30500,hk5276,73500,Comercial,FAST COLOMBIA S.A.S,8039.0,Salida,2020-01-01,2020-01-01,19:29:00,SKSM,SANTA MARTA
30501,HK5322,23000,Comercial,EFY,9189.0,Salida,2020-01-01,2020-01-01,19:25:00,SKBO,BOGOTA
30502,HK5315,11250,Comercial,EFY,6929.0,Salida,2020-01-01,2020-01-01,19:32:00,SKCG,CARTAGENA
30503,hk5335,73500,Comercial,FAST COLOMBIA S.A.S,8090.0,Salida,2020-01-01,2020-01-01,20:09:00,SKCG,CARTAGENA
30504,N728AV,77000,Comercial,AVA,9810.0,Salida,2020-01-01,2020-01-01,20:24:00,SKBO,BOGOTA
30505,HK5199,18600,Comercial,EFY,9175.0,Salida,2020-01-02,2020-01-02,5:45:00,SKMD,MEDELLIN
30506,HK5222,77000,Comercial,FAST COLOMBIA S.A.S,8135.0,Salida,2020-01-01,2020-01-01,21:13:00,SKBO,BOGOTA
30507,HK5322,23000,Comercial,EFY,9105.0,Salida,2020-01-02,2020-01-02,5:40:00,SKBO,BOGOTA
30508,HK5315,11250,Comercial,EFY,6925.0,Salida,2020-01-02,2020-01-02,5:53:00,SKCG,CARTAGENA
30509,N728AV,77000,Comercial,AVA,8510.0,Salida,2020-01-02,2020-01-02,6:10:00,SKBO,BOGOTA
30510,HP1561,50000,Comercial,RPB,624.0,Salida,2020-01-02,2020-01-02,5:20:00,MPTO,TOCUMEN
30511,HK5266,17894,Comercial,EFY,9051.0,Salida,2020-01-02,2020-01-02,7:13:00,SKMD,MEDELLIN
30512,N454AV,77000,Comercial,AVA,8538.0,Salida,2020-01-02,2020-01-02,8:42:00,SKBO,BOGOTA
30513,HK5322,23000,Comercial,EFY,9107.0,Salida,2020-01-02,2020-01-02,9:06:00,SKBO,BOGOTA
30514,N728AV,77000,Comercial,AVA,8408.0,Salida,2020-01-02,2020-01-02,9:19:00,SKBO,BOGOTA
30515,HK5313,18600,Comercial,EFY,9053.0,Salida,2020-01-02,2020-01-02,10:33:00,SKMD,MEDELLIN
30516,N694AV,75500,Comercial,AVA,8512.0,Salida,2020-01-02,2020-01-02,10:45:00,SKBO,BOGOTA
30517,HK5315,11250,Comercial,EFY,6927.0,Salida,2020-01-02,2020-01-02,10:35:00,SKMD,MEDELLIN
30518,HK5305,78000,Comercial,FAST COLOMBIA S.A.S,8286.0,Salida,2020-01-02,2020-01-02,11:32:00,SKCG,CARTAGENA
30519,HK5070,18600,Comercial,EFY,7778.0,Salida,2020-01-02,2020-01-02,11:35:00,SKVV,VILLAVICENCIO
30520,HK5222,77000,Comercial,FAST COLOMBIA S.A.S,6769.0,Salida,2020-01-02,2020-01-02,12:02:00,SKBO,BOGOTA
30521,HK5322,23000,Comercial,EFY,7751.0,Salida,2020-01-02,2020-01-02,11:51:00,SKBO,BOGOTA
30522,PNC0238,621,Estatal,FRPN,0.0,Salida,2020-01-02,2020-01-02,8:00:00,SKPE,AEROPUERTO INTERNACIONAL MATECAÑA
30523,N728AV,77000,Comercial,AVA,9806.0,Salida,2020-01-02,2020-01-02,12:48:00,SKBO,BOGOTA
30524,N694AV,75500,Comercial,AVA,8516.0,Salida,2020-01-02,2020-01-02,14:02:00,SKBO,BOGOTA
30525,CCCOX,70000,Comercial,ARE,4213.0,Salida,2020-01-02,2020-01-02,14:41:00,SKBO,BOGOTA
30526,HK5313,18600,Comercial,EFY,9057.0,Salida,2020-01-02,2020-01-02,14:47:00,SKMD,MEDELLIN
30527,N8001N,73029,Comercial,AAL,1134.0,Salida,2020-01-02,2020-01-02,15:58:00,KMIA,MIAMI
30528,N728AV,77000,Comercial,AVA,8504.0,Salida,2020-01-02,2020-01-02,16:13:00,SKBO,BOGOTA
30529,FAC5733,5670,Estatal,FAC,2.0,Salida,2020-01-02,2020-01-02,17:54:00,SKBO,BOGOTA
30530,HK5331,18600,Comercial,EFY,9059.0,Salida,2020-01-02,2020-01-02,16:42:00,SKMD,MEDELLIN
30531,HK4992,550,General,DOS DIEZ R SAS,2.0,Salida,2020-01-02,2020-01-02,16:40:00,SKMZ,MANIZALES
30532,PNC0238,621,Estatal,FRPN,2.0,Salida,2020-01-02,2020-01-02,17:20:00,SKBO,BOGOTA
30533,N741AV,75500,Comercial,AVA,8518.0,Salida,2020-01-02,2020-01-02,19:55:00,SKBO,BOGOTA
30534,hp1565,50000,Comercial,RPB,684.0,Salida,2020-01-02,2020-01-02,18:38:00,MPTO,TOCUMEN
30535,HK5321,18600,Comercial,EFY,7783.0,Salida,2020-01-02,2020-01-02,19:06:00,SKRG,RIONEGRO
30536,N728AV,77000,Comercial,AVA,9418.0,Salida,2020-01-02,2020-01-02,20:28:00,SKBO,BOGOTA
30537,HK5327,73500,Comercial,FAST COLOMBIA S.A.S,8071.0,Salida,2020-01-02,2020-01-02,19:29:00,SKSM,SANTA MARTA
30538,HK5315,11250,Comercial,EFY,6929.0,Salida,2020-01-02,2020-01-02,19:24:00,SKCG,CARTAGENA
30539,HK5322,23000,Comercial,EFY,9189.0,Salida,2020-01-02,2020-01-02,19:33:00,SKBO,BOGOTA
30540,HK5319,73500,Comercial,FAST COLOMBIA S.A.S,8090.0,Salida,2020-01-02,2020-01-02,20:22:00,SKCG,CARTAGENA
30541,N992AV,77000,Comercial,AVA,9810.0,Salida,2020-01-02,2020-01-02,21:03:00,SKBO,BOGOTA
30542,HK5222,77000,Comercial,FAST COLOMBIA S.A.S,8135.0,Salida,2020-01-02,2020-01-02,20:54:00,SKBO,BOGOTA
30543,HK5321,18600,Comercial,EFY,9175.0,Salida,2020-01-03,2020-01-03,5:44:00,SKMD,MEDELLIN
30544,HK5322,23000,Comercial,EFY,9105.0,Salida,2020-01-03,2020-01-03,5:40:00,SKBO,BOGOTA
30545,HK5294,22800,Comercial,EFY,9187.0,Salida,2020-01-02,2020-01-02,22:01:00,SKBO,BOGOTA
30546,HK5315,11250,Comercial,EFY,6925.0,Salida,2020-01-03,2020-01-03,5:50:00,SKCG,CARTAGENA
30547,HP1560,50000,Comercial,RPB,624.0,Salida,2020-01-03,2020-01-03,5:13:00,MPTO,TOCUMEN
30548,N992AV,77000,Comercial,AVA,8510.0,Salida,2020-01-03,2020-01-03,6:02:00,SKBO,BOGOTA
30549,N766AV,79000,Comercial,AVA,8538.0,Salida,2020-01-03,2020-01-03,8:05:00,SKBO,BOGOTA
30550,HK5322,23000,Comercial,EFY,9107.0,Salida,2020-01-03,2020-01-03,8:30:00,SKBO,BOGOTA
30551,N992AV,77000,Comercial,AVA,8408.0,Salida,2020-01-03,2020-01-03,9:05:00,SKBO,BOGOTA
30552,HK2367,757,General,AEROOCCIDENTE,0.0,Salida,2020-01-03,2020-01-03,11:30:00,SKCL,CALI
30553,HK5315,11250,Comercial,EFY,6927.0,Salida,2020-01-03,2020-01-03,10:20:00,SKMD,MEDELLIN
30554,HK5318,73500,Comercial,FAST COLOMBIA S.A.S,8286.0,Salida,2020-01-03,2020-01-03,10:40:00,SKCG,CARTAGENA
30555,HK5282,18600,Comercial,EFY,9053.0,Salida,2020-01-03,2020-01-03,10:29:00,SKMD,MEDELLIN
30556,N766AV,79000,Comercial,AVA,8512.0,Salida,2020-01-03,2020-01-03,10:53:00,SKBO,BOGOTA
30557,HK5322,23000,Comercial,EFY,7751.0,Salida,2020-01-03,2020-01-03,11:27:00,SKBO,BOGOTA
30558,HK5266,17894,Comercial,EFY,6969.0,Salida,2020-01-03,2020-01-03,11:13:00,SKBG,BUCARAMANGA
30559,HK5327,73500,Comercial,FAST COLOMBIA S.A.S,6769.0,Salida,2020-01-03,2020-01-03,12:50:00,SKBO,BOGOTA
30560,N992AV,77000,Comercial,AVA,9806.0,Salida,2020-01-03,2020-01-03,12:30:00,SKBO,BOGOTA
30561,PNC0248,19500,Estatal,POLICIA,0.0,Salida,2020-01-03,2020-01-03,14:00:00,SKBO,BOGOTA
30562,PNC0702,7000,Estatal,FRPN,2.0,Salida,2020-01-04,2020-01-04,6:44:00,SKBO,BOGOTA
30563,N766AV,79000,Comercial,AVA,8516.0,Salida,2020-01-03,2020-01-03,14:00:00,SKBO,BOGOTA
30564,HK5331,18600,Comercial,EFY,9057.0,Salida,2020-01-03,2020-01-03,14:00:00,SKMD,MEDELLIN
30565,CCCPE,70000,Comercial,ARE,4213.0,Salida,2020-01-03,2020-01-03,14:45:00,SKBO,BOGOTA
30566,N992AV,77000,Comercial,AVA,8504.0,Salida,2020-01-03,2020-01-03,15:53:00,SKBO,BOGOTA
30567,HK5331,18600,Comercial,EFY,9059.0,Salida,2020-01-03,2020-01-03,16:07:00,SKMD,MEDELLIN
30568,N691AV,75500,Comercial,AVA,8518.0,Salida,2020-01-03,2020-01-03,19:31:00,SKBO,BOGOTA
30569,N992AV,77000,Comercial,AVA,9418.0,Salida,2020-01-03,2020-01-03,19:38:00,SKBO,BOGOTA
30570,hk5320,73500,Comercial,FAST COLOMBIA S.A.S,6780.0,Salida,2020-01-03,2020-01-03,19:19:00,SKCG,CARTAGENA
30571,HK5319,73500,Comercial,FAST COLOMBIA S.A.S,8039.0,Salida,2020-01-03,2020-01-03,19:36:00,SKSM,SANTA MARTA
30572,hk5293,22800,Comercial,EFY,9189.0,Salida,2020-01-03,2020-01-03,19:23:00,SKBO,BOGOTA
30573,hk5335,73500,Comercial,FAST COLOMBIA S.A.S,8090.0,Salida,2020-01-03,2020-01-03,20:18:00,SKCG,CARTAGENA
30574,HK5315,11250,Comercial,EFY,6929.0,Salida,2020-01-03,2020-01-03,19:21:00,SKCG,CARTAGENA
30575,HK4850,2154,General,S.A.E SERVICIOS AEREOS ES,0.0,Salida,2020-01-04,2020-01-04,10:10:00,SKGY,GUAYMARAL
30576,fac5759,4200,Estatal,FAC,0.0,Salida,2020-01-03,2020-01-03,21:15:00,SKBO,BOGOTA
30577,HK5341,11250,Comercial,EFY,7783.0,Salida,2020-01-03,2020-01-03,20:37:00,SKRG,RIONEGRO
30578,N766AV,79000,Comercial,AVA,9810.0,Salida,2020-01-03,2020-01-03,21:02:00,SKBO,BOGOTA
30579,HK5294,22800,Comercial,EFY,9187.0,Salida,2020-01-03,2020-01-03,21:25:00,SKBO,BOGOTA
30580,hk5293,22800,Comercial,EFY,9107.0,Salida,2020-01-04,2020-01-04,8:22:00,SKBO,BOGOTA
30581,HK5341,11250,Comercial,EFY,9175.0,Salida,2020-01-04,2020-01-04,5:39:00,SKMD,MEDELLIN
30582,HK5315,11250,Comercial,EFY,6925.0,Salida,2020-01-04,2020-01-04,6:00:00,SKCG,CARTAGENA
30583,N939AV,77000,Comercial,AVA,9856.0,Salida,2020-01-04,2020-01-04,1:12:00,SKSP,SAN ANDRES
30584,HP1558,50000,Comercial,RPB,624.0,Salida,2020-01-04,2020-01-04,5:19:00,MPTO,TOCUMEN
30585,N939AV,77000,Comercial,AVA,8510.0,Salida,2020-01-04,2020-01-04,6:02:00,SKBO,BOGOTA
30586,HK5070,18600,Comercial,EFY,9051.0,Salida,2020-01-04,2020-01-04,7:00:00,SKMD,MEDELLIN
30587,N416AV,77000,Comercial,AVA,8408.0,Salida,2020-01-04,2020-01-04,9:42:00,SKBO,BOGOTA
30588,HK5315,11250,Comercial,EFY,6927.0,Salida,2020-01-04,2020-01-04,10:15:00,SKMD,MEDELLIN
30589,HK5331,18600,Comercial,EFY,9053.0,Salida,2020-01-04,2020-01-04,10:21:00,SKMD,MEDELLIN
30590,hk5293,22800,Comercial,EFY,7751.0,Salida,2020-01-04,2020-01-04,11:03:00,SKBO,BOGOTA
30591,HK5327,73500,Comercial,FAST COLOMBIA S.A.S,8286.0,Salida,2020-01-04,2020-01-04,11:30:00,SKCG,CARTAGENA
30592,N766AV,79000,Comercial,AVA,8512.0,Salida,2020-01-04,2020-01-04,11:26:00,SKBO,BOGOTA
30593,HK5305,78000,Comercial,FAST COLOMBIA S.A.S,6769.0,Salida,2020-01-04,2020-01-04,12:05:00,SKBO,BOGOTA
30594,N416AV,77000,Comercial,AVA,9806.0,Salida,2020-01-04,2020-01-04,12:30:00,SKBO,BOGOTA
30595,HK5236,18600,Comercial,EFY,7778.0,Salida,2020-01-04,2020-01-04,14:00:00,SKVV,VILLAVICENCIO
30596,HK662,1236,General,LUIS CALDERON,0.0,Salida,2020-01-04,2020-01-04,16:30:00,SKCL,CALI
30597,HK5044,1156,General,ALFONSO DIAZ ABOGADOS ASO,0.0,Salida,2020-01-04,2020-01-04,16:30:00,SKCL,CALI
30598,HK4603,5670,General,HELISTAR,2.0,Salida,2020-01-05,2020-01-05,11:37:00,SKMD,MEDELLIN
