id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
6104,SKBO,large_airport,"El Dorado International Airport",4.70159,-74.1469,8361,SA,Colombia,CO,"Bogotá Capital District",CO-DC,DC,Bogota,1,SKBO,SKBO,BOG,BOG,https://eldorado.aero/,https://en.wikipedia.org/wiki/El_Dorado_International_Airport,Cundinamarca,51275,2024-04-22T14:10:17+00:00
6109,SKCG,medium_airport,"Rafael Nuñez International Airport",10.4424,-75.513,4,SA,Colombia,CO,"Bolívar Department",CO-BOL,BOL,Cartagena,1,SKCG,SKCG,CTG,CTG,,https://en.wikipedia.org/wiki/Rafael_N%C3%BA%C3%B1ez_International_Airport,,750,2009-10-20T10:46:09+00:00
6158,SKRG,medium_airport,"Jose Maria Córdova International Airport",6.16454,-75.4231,6955,SA,Colombia,CO,"Antioquía Department",CO-ANT,ANT,Medellín,1,SKRG,SKRG,MDE,MDE,,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_C%C3%B3rdova_International_Airport,,750,2017-08-14T21:49:57+00:00
6110,SKCL,medium_airport,"Alfonso Bonilla Aragon International Airport",3.54322,-76.3816,3162,SA,Colombia,CO,"Valle del Cauca Department",CO-VAC,VAC,Cali,1,SKCL,SKCL,CLO,CLO,https://www.aerocali.com.co/,https://en.wikipedia.org/wiki/Alfonso_Bonilla_Arag%C3%B3n_International_Airport,"Palmaseca International, 02-20",750,2019-08-15T00:05:28+00:00
6105,SKBQ,medium_airport,"Ernesto Cortissoz International Airport",10.8896,-74.7808,98,SA,Colombia,CO,"Atlántico Department",CO-ATL,ATL,Barranquilla,1,SKBQ,SKBQ,BAQ,BAQ,,https://en.wikipedia.org/wiki/Ernesto_Cortissoz_International_Airport,,750,2009-10-20T10:46:07+00:00
6163,SKSP,medium_airport,"Gustavo Rojas Pinilla International Airport",12.5836,-81.7112,19,NA,Colombia,CO,"San Andrés, Providencia y Santa Catalina Department",CO-SAP,SAP,"San Andrés",1,SKSP,SKSP,ADZ,ADZ,,https://en.wikipedia.org/wiki/Gustavo_Rojas_Pinilla_International_Airport,,750,2023-07-28T19:24:02+00:00
6161,SKSM,medium_airport,"Simón Bolívar International Airport",11.1196,-74.2306,22,SA,Colombia,CO,"Magdalena Department",CO-MAG,MAG,"Santa Marta",1,SKSM,SKSM,SMR,SMR,,https://en.wikipedia.org/wiki/Sim%C3%B3n_Bol%C3%ADvar_International_Airport_(Colombia),,750,2015-05-08T23:40:04+00:00
6132,SKMD,medium_airport,"Enrique Olaya Herrera Airport",6.219686,-75.590597,4949,SA,Colombia,CO,"Antioquía Department",CO-ANT,ANT,Medellín,1,SKMD,SKMD,EOH,EOH,,https://en.wikipedia.org/wiki/Enrique_Olaya_Herrera_International_Airport,,750,2025-01-10T11:41:43+00:00
6148,SKPE,medium_airport,"Matecaña International Airport",4.81267,-75.7395,4416,SA,Colombia,CO,"Risaralda Department",CO-RIS,RIS,Pereira,1,SKPE,SKPE,PEI,PEI,http://aeromate.gov.co,https://en.wikipedia.org/wiki/Mateca%C3%B1a_International_Airport,,750,2019-09-26T06:33:21+00:00
6155,SKPV,medium_airport,"El Embrujo Airport",13.357461,-81.357977,10,NA,Colombia,CO,"San Andrés, Providencia y Santa Catalina Department",CO-SAP,SAP,Providencia,1,SKPV,SKPV,PVA,PVA,,https://en.wikipedia.org/wiki/El_Embrujo_Airport,,750,2023-07-28T19:20:52+00:00
